"Property: Property Name","# of Dock Doors","# of Grade Level Doors","# of Parking Spaces","Available SF","Ceiling Height (ft)","City","Land Size (Acres)","Lease Price (PSF)","Net Operating Income","Lead Broker","Year Built","Warehouse Space (SF)","Price (PSF)","Price (per Unit)","Price (total)","Sprinkler Type","Unit Amenities","# of Bathrooms","# of Bedrooms","# of Buildings","# of Elevators","# Of Units","# of Floors","Access Frontage","Building Status","Sales (per SF)","Building Type","Lease Structure","Truck Court Depth (ft)","Traffic (per Day)","In-Place Rent (psf)","Building Size (SF)","Dock Height (ft)","Listing Status"
"103 N Thompson St","","","","","","Springdale","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","1800","","For Sale"
"597 S Horsebarn Rd","","","","","","Rogers","1.18","","","Corey","","","","","4500000.00","","","","","","","","","","","","","","","","","19692","","For Sale"
"218 S 1st St","","","","","","Rogers","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","0","","For Sale"
"388 S Nelson Hackett Blvd","","","","","","Fayetteville","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","0","","For Sale"
"4132 N College Ave","","","","","","Fayetteville","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","0","","For Sale"
"5303 Southern Hills Blvd","","","","","","Rogers","1.05","","","","","","","","","","","","","","","","","","","","","","","","","1","","For Sale"
"33 W Prospect Wilson Park Apartments","","","","","","Fayetteville","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","0","","For Sale"
"15 W Prospect Wilson Park Apartments","","","","","","Fayetteville","0.00","","","Clinton","","","","","","","","","","","","","","","","","","","","","","16850","","For Sale"
"25 W Prospect Wilson Park Apartments","","","","","","Fayetteville","0.00","","","Clinton","","","","","","","","","","","","4","","","","","","","","","","2442","","For Sale"
"19.97 AC Habberton Rd and Don Tyson","","","","","","Springdale","1.88","","","Corey","","","","","1700000.00","","","","","","","","","","","","","","","","","0","","For Sale"
"901 SE 28th St","","","","","","Bentonville","2.41","","","Corey","","","","","","","","","","","","","","","","","","","","","","21962","","For Sale"
"2109 E Central","","","","","","Bentonville","0.96","","","Clinton","","","","","","","","","","","","","","","","","","","","","","0","","For Sale"
"716 W Sycamore St","","","","","","Fayetteville","0.93","","","Cameron","","","","","1475000.00","","","","","","","","","","","","","","","","","0","","For Sale"
"SE C St","","","","","","Bentonville","7.33","","","Clinton; Corey","","","","","5131000.00","","","","","","","","","","","","","","","","","0","","For Sale"
"7800 N Dallas Parkway","","","","","","Plano","0.00","","","Clinton","","","","","","","","","","","","","","","","","","NNN","","","","3980","","For Sale"
"7700 Rogers Ave","","","","","","Fort Smith","0.28","","","Cameron","","","","","210000.00","","","","","","","","","","","","","","","","","0","","For Sale"
"900 S Shackleford Rd","","","","","","Little Rock","0.00","","","Clinton","","","","","","","","","","","","","","","","","","NNN","","","","2089","","For Sale"
"804 W Johnson Ave","","","","","","Springdale","45.11","","","Palmer","","","","","4285450.00","","","","","","","","","","","","","","","","","0","","For Sale"
"2001 W Pleasant Grove Rd","","","","","","Rogers","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","0","","For Sale"
"1834 Summerville Ave","","","","","","Charleston","0.00","","","Clinton","","","","","","","","","","","","","","","","","","","","","","0","","For Sale"
"1000 Clayton St","1","","","","","Springdale","0.00","","","Palmer","","","","","","","","","","1","","","","","","","","","","","","8000","","For Sale"
"1201 N 8th St","6","","","","","Rogers","15.28","","","Palmer","","","","","","","","","","1","","","","","","","","","","","","210915","","For Sale"
"123 W Kelley Dr","","","","","","Rogers","0.00","","","Palmer","","","","","","","","","","","","","","","","","","","","","","3000","","For Sale"
"125 W Kelley Dr","","","","","","Rogers","0.00","","","Palmer","","","","","","","","","","","","","","","","","","","","","","1800","","For Sale"
"Benton County PID 0200692001","","","","","","Gentry","6.09","","","Palmer","","","","","","","","","","","","","","","","","","","","","","0","","For Sale"
"505 McClure Rd","","","","","","Little Flock","45.60","","","Palmer","","","","","","","","","","","","","","","","","","","","","","0","","For Sale"
"683 Bain St","","","","","","Springdale","0.00","","","Palmer","","","","","","","","","","1","","","","","","","","","","","","10000","","For Sale"
"4344 SW I St","","","","","","Bentonville","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","0","","For Sale"
"Lot 2 Block 1 in Cadillac Lake","","","","","","Wichita","0.74","","","Clinton","","","","","","","","","","","","","","","","","","","","","","0","","For Sale"
"W Wedington Dr","","","","","","Fayetteville","1.76","","","Cameron","","","","","640000.00","","","","","","","","","","","","","","","","","0","","For Sale"
"703 W Dickson St","","","","","","Fayetteville","0.57","","","Corey","","","","","","","","","","","","","","","","","","","","","","3024","","For Sale"
"106 S Bloomington St","","","","","","Lowell","0.85","","","Corey","","","","","","","","","","","","","","","","","","","","","","0","","For Sale"
"221 Locust Ave S","","","","","","Fayetteville","0.49","","","Cameron","","","","","1009050.00","","","","","","","","","","","","","","","","","21344","","For Sale"
"303 E Millsap Rd","","","","","","Fayetteville","0.00","24.00","","Cameron","","","","","","","","","","","","","1","","","","","MG","","","","4500","","For Sale"
"3301 Central Ave","","","","","","Hot Springs","0.00","","","Cameron","","","","","700000.00","","","","","","","","","","","","","","","","","7200","","For Sale"
"2708 Pine St","","","","","","Arkadelphia","0.00","","","Cameron","","","","","1975000.00","","","","","","","","","","","","","","","","","8610","","For Sale"
"620 Union St","","","","","","Dardanelle","0.00","","","Cameron","","","","","375000.00","","","","","","","","","","","","","","","","","3100","","For Sale"
"1009 N Hervey St","","","","","","Hope","0.34","","","Cameron","","","","","750000.00","","","","","","","","","","","","","","","","","6012","","For Sale"
"32 to 72 W Joyce Blvd","","","147","","","Fayetteville","3.77","","","Clinton; Michael","2004","","","","","","","","","","","","","","","","","","","","","33882","","For Sale"
"405 SW Dr","","","","","","Jonesboro","0.00","","","Cameron","","","","","1000000.00","","","","","","","","","","","","","","","","","6470","","For Sale"
"2109 S Main","","","","","","Stuttgart","0.00","","","Cameron","","","","","1500000.00","","","","","","","","","","","","","","","","","26200","","For Sale"
"705 S Centennial Park Ln","","","","","","Fayetteville","0.00","","","Clinton","","","","","","","","","","","","","","","","","","","","","","0","","For Sale"
